r,alpha,beta,x
"[0.0973729313004847, 0.32141623840621736, 0.29190991814760797, 0.45717896376924083, 0.40968523746752866]","[0.13654981076915962, 0.11759499615693876, 0.06362904364095714, 0.07351886976402085, 0.09332834621868871]","[0.48751933520955004, 0.45649013834377994, 0.41090602092042827, 0.4921038442697545, 0.4650403982781799]","[13.654981076915963, 11.759499615693876, 6.362904364095715, 49.21038442697545, 19.012230516319008]"
"[0.380683396325294, 0.39161678839624464, 0.4906528559487384, 0.3041021851525747, 0.2767967036627704]","[0.08853465950674017, 0.058007415441593636, 0.11116164585105107, 0.11937720619653734, 0.13394116481528484]","[0.5112274284665955, 0.5138401071682905, 0.5301462355962145, 0.3709508142304022, 0.5214465448859433]","[8.853465950674016, 12.800073388522307, 53.014623559621455, 11.937720619653733, 13.394116481528485]"
"[0.218076150249631, 0.053517069385997276, 0.5392337434066249, 0.18892836982114636, 0.07940699511881934]","[0.1377395645618273, 0.12022316309085537, 0.14173924829420853, 0.09864981988289986, 0.08038136742265398]","[0.4907623356200433, 0.5284227847264504, 0.5328396631505912, 0.5072281090197084, 0.428073047869296]","[16.790598645299966, 12.022316309085538, 53.28396631505912, 9.864981988289987, 8.038136742265397]"
"[0.4478176519221756, 0.420851108404712, 0.34789370351584287, 0.17796246496382595, 0.3019916816372899]","[0.1403745489224249, 0.14293362867300946, 0.12622082796016687, 0.06361246394477367, 0.05060929457643716]","[0.3929637554452622, 0.44504213515358115, 0.5429462492805306, 0.43737468152142384, 0.5433405340390305]","[39.29637554452622, 36.659365807336, 12.622082796016688, 6.361246394477367, 5.0609294576437165]"
"[0.195039884477541, 0.4849059209033039, 0.10464716171428891, 0.37568398018523264, 0.3235850253702314]","[0.05332401065285269, 0.08360370497833806, 0.08814524914781577, 0.05952547350466943, 0.11187128340872776]","[0.4189272637621737, 0.5034199180164279, 0.43003575690716517, 0.513242236458182, 0.5270463706545858]","[5.332401065285269, 50.34199180164279, 8.814524914781577, 24.323953877417587, 11.187128340872777]"
"[0.06331250952719193, 0.05360621366981162, 0.38735128315198575, 0.3249337189946397, 0.2422995869920478]","[0.12161366034203581, 0.14468421749335522, 0.06922202961638392, 0.1081401884486303, 0.12214981300486955]","[0.4138078765720459, 0.3809331758927117, 0.5186792302953249, 0.47214093707536914, 0.41867497603723736]","[12.161366034203581, 14.468421749335523, 50.34121207111092, 10.81401884486303, 12.214981300486954]"
"[0.2799989650652419, 0.07033470739321558, 0.19582384990251905, 0.3230928134845795, 0.4148451275812809]","[0.05784625792486064, 0.11678438689283188, 0.10139539215525672, 0.07575444040784461, 0.0589635525797744]","[0.49337397234344527, 0.4615707242312902, 0.5363970258378821, 0.40967349106387513, 0.3728027478157825]","[5.784625792486064, 11.678438689283189, 10.139539215525673, 35.117121521126826, 37.28027478157825]"
"[0.5015950990318749, 0.42577673304556507, 0.21582371886183677, 0.13323871055627806, 0.22500223332541208]","[0.07448986955259564, 0.05303355920464088, 0.13820464870222532, 0.12822103852203187, 0.05062853146180893]","[0.5150570040614397, 0.4190534338686927, 0.5224446445135102, 0.36775764207282047, 0.4403100106111322]","[51.50570040614397, 16.78887772524942, 13.820464870222532, 12.822103852203186, 5.062853146180893]"
"[0.25864042100670764, 0.1886412300364586, 0.43215121021179115, 0.28356560093476485, 0.30392471065267096]","[0.059802747794623023, 0.08320136304885506, 0.07948574406230047, 0.09696025730422633, 0.12115146931131023]","[0.37688008981568205, 0.5166383700979075, 0.505756397814788, 0.4343327462456776, 0.46640323014936036]","[5.980274779462302, 8.320136304885505, 50.5756397814788, 9.696025730422633, 25.427923403750754]"
"[0.32559135179186266, 0.2638778087828107, 0.40763888785431723, 0.3952076306688778, 0.5466071240785323]","[0.0957352086047845, 0.14296648782706933, 0.05353438463536944, 0.06374281298124389, 0.06443934114596613]","[0.42025395682233646, 0.448231996977825, 0.36133714803032, 0.3941295235547243, 0.38653207019648766]","[9.57352086047845, 14.296648782706933, 31.102342039041453, 6.374281298124389, 38.65320701964877]"
"[0.382958910990071, 0.3517996411699966, 0.1624943201901854, 0.3412648663487747, 0.29019245479901035]","[0.11734628682173555, 0.09002587532350263, 0.07845241998995897, 0.10549414259725345, 0.0613425000311746]","[0.4361966471189673, 0.5003140910741365, 0.46428130287466113, 0.41608791146697344, 0.39495581610763303]","[43.619664711896725, 31.851429026264576, 7.845241998995897, 10.549414259725346, 6.13425000311746]"
"[0.38209799027053065, 0.23796110356050754, 0.055598193273960886, 0.5083692343492294, 0.3775891436873362]","[0.05583598914081994, 0.10172569612388593, 0.13889517566328025, 0.1184098028075117, 0.11647832047424418]","[0.5000599960946461, 0.4575922381139727, 0.5199932828179762, 0.35925153610291877, 0.5371282174719878]","[28.36492716356709, 10.172569612388592, 13.889517566328024, 35.92515361029188, 11.647832047424417]"
"[0.42840952102569896, 0.48460571035432604, 0.5274625103412466, 0.5322671420536471, 0.5125632117902177]","[0.08007494487685302, 0.0802504763163633, 0.09715945071163999, 0.14275550562803, 0.10396099974550094]","[0.43768298748900897, 0.35450050634732694, 0.5239689925357482, 0.5137906968564128, 0.49415567669373384]","[8.007494487685301, 8.02504763163633, 22.192288220486994, 51.37906968564128, 10.396099974550093]"
"[0.3755961893556123, 0.09154544607401217, 0.3128375139811599, 0.07806631449744623, 0.5397742915164394]","[0.08086277699360453, 0.09039142560256483, 0.06681373533809905, 0.06992332124794595, 0.09901894572063633]","[0.4985869947828171, 0.4004080056048478, 0.4373303354086238, 0.4189459244433903, 0.4341425354509124]","[33.872898236047774, 9.039142560256483, 6.6813735338099045, 6.992332124794595, 43.41425354509124]"
"[0.16615816845053982, 0.4368933400890122, 0.2178255148240802, 0.23979039741360486, 0.44937593642095097]","[0.14081058731544943, 0.061327543032453316, 0.07503546258672153, 0.10034285574435868, 0.11079016772504519]","[0.45692183708130446, 0.48672970354075984, 0.4270040868378081, 0.5189962484206667, 0.4746574226935265]","[14.081058731544942, 20.915367165994383, 7.503546258672153, 10.034285574435868, 47.46574226935265]"
"[0.13976583585975177, 0.2028951999591106, 0.06880651094343156, 0.2040175096264346, 0.2562460428537832]","[0.06126100704473613, 0.11583535647726516, 0.12249359250919356, 0.05157305390819349, 0.07071332045744448]","[0.4065844679436529, 0.4854871238404689, 0.4287113022479423, 0.4215729067442032, 0.40189250590141545]","[6.126100704473613, 11.583535647726515, 12.249359250919357, 29.851753806738962, 40.18925059014155]"
"[0.4587987396004785, 0.4315052500403162, 0.5434284352335654, 0.15020727455699923, 0.38207880201894756]","[0.06130962118130295, 0.07262426814988293, 0.06299494714393993, 0.14610152424395761, 0.05330091731493938]","[0.4775112960779817, 0.3929409271831787, 0.4305728848455843, 0.5401457463176154, 0.4058147246904215]","[29.74004054456357, 7.262426814988293, 43.057288484558434, 14.61015242439576, 5.330091731493939]"
"[0.46092376072065155, 0.5170006137770424, 0.49483376851388855, 0.09721635719230466, 0.09747798800746794]","[0.0663768548083034, 0.08162176425318082, 0.0658572304605528, 0.12009081064817177, 0.12091443141525533]","[0.5263027313164758, 0.45750285987827155, 0.5144939844927523, 0.38547016260473616, 0.39311936935064024]","[6.637685480830339, 45.750285987827155, 23.511504324999795, 12.009081064817178, 12.091443141525533]"
"[0.40171541882528267, 0.3833062593758122, 0.5021857282363559, 0.060503493807440925, 0.14924475172823776]","[0.11761169600473434, 0.10519862662361067, 0.07625754010003141, 0.08236053065600324, 0.05372106143241089]","[0.41949879558016856, 0.4568604491914061, 0.3951558872512194, 0.4752523108107217, 0.36746903330356917]","[36.35638940367558, 10.519862662361067, 39.515588725121944, 8.236053065600323, 5.372106143241089]"
"[0.05894275264233008, 0.24809227746832246, 0.5075127893650151, 0.07751370714610979, 0.1182133614818728]","[0.14243605990996022, 0.0678865321678587, 0.06889839554711247, 0.09037040055986503, 0.08248434137134938]","[0.506437609106832, 0.3906926921611102, 0.356883600939859, 0.49578834413583267, 0.48126417573729047]","[14.243605990996022, 32.78255972189664, 35.6883600939859, 9.037040055986504, 8.248434137134938]"
"[0.28550382511998185, 0.06846077800673035, 0.5048124789290719, 0.3973226040454877, 0.24895287635633623]","[0.08008802670813113, 0.05844319502892584, 0.14339486185991965, 0.07451576833379128, 0.05009789721088688]","[0.48870866173280214, 0.529944687542805, 0.4643710466706634, 0.37782233158348705, 0.4319108011059838]","[8.008802670813113, 5.844319502892584, 46.43710466706634, 34.69998343813927, 5.009789721088688]"
"[0.33044442261603796, 0.20887921153302152, 0.25879529172968724, 0.4124609249729353, 0.25226831501218433]","[0.06710880456626915, 0.05901055176458995, 0.08112559327810451, 0.055213341398793095, 0.07490881237870968]","[0.47505645050566236, 0.3876003151384099, 0.5483043246906258, 0.514732546596572, 0.356980940992282]","[27.022249598202386, 5.9010551764589945, 8.11255932781045, 51.4732546596572, 7.490881237870968]"
"[0.16951044240803276, 0.35562557801901035, 0.10089506488230017, 0.053864469491562775, 0.4658764493922209]","[0.08869625904480147, 0.13104369567587393, 0.09050473668378164, 0.06672384508280457, 0.05304601832349183]","[0.545724320108449, 0.5023979642033713, 0.3732795393202031, 0.36421203160885834, 0.4167358183614306]","[8.869625904480147, 33.73393408271818, 9.050473668378164, 6.672384508280457, 41.67358183614306]"
"[0.07933763902411196, 0.40934842853374986, 0.41619383444413066, 0.1642691544762071, 0.20685190543692555]","[0.13454420379382587, 0.07338594244402555, 0.1493518261497723, 0.11954949102706382, 0.05221683417329792]","[0.4747895662727044, 0.49968953040219344, 0.38287836447817, 0.3574427370004283, 0.47449964558571595]","[13.454420379382587, 31.081110652764252, 38.287836447817, 11.954949102706381, 5.221683417329793]"
"[0.3750363503981172, 0.16128251549563466, 0.36344246147962367, 0.21773004085526237, 0.5488950102564896]","[0.12679772816627055, 0.0637409067877802, 0.1462575787620218, 0.12247435342337411, 0.13502416629224123]","[0.46957381443273255, 0.5092972932664741, 0.5167613874153009, 0.35809645035314747, 0.5001980029781241]","[16.73291580486998, 6.37409067877802, 14.625757876202181, 12.247435342337411, 50.01980029781241]"
"[0.4129153152940021, 0.16869615275053984, 0.548061932905389, 0.22442105426087128, 0.40185741523862917]","[0.12432755829245921, 0.07691675418291455, 0.10717255529940284, 0.05754368777803164, 0.10194301606576811]","[0.503919374552712, 0.4886765394936113, 0.4633979343500833, 0.4629394658276664, 0.5067200533045975]","[30.019860762320235, 7.691675418291455, 46.33979343500833, 5.7543687778031645, 10.194301606576811]"
"[0.4788398611352977, 0.48910239528330135, 0.19950805120463883, 0.13032843334687566, 0.30653760626619647]","[0.10614967508955372, 0.08885731120672984, 0.14715393578757818, 0.05130925917771383, 0.08524706911430416]","[0.4929573615991476, 0.3625444046155559, 0.4291471343879114, 0.5059972967621509, 0.48349104556490446]","[35.37453313048479, 36.25444046155559, 14.71539357875782, 5.130925917771383, 8.524706911430416]"
"[0.5377581687889742, 0.061427254326038974, 0.10461157953401053, 0.4125494099008327, 0.18912829635609907]","[0.11883059896218907, 0.12243284907517682, 0.06436820212985436, 0.09384549463772751, 0.05947444731980083]","[0.4795765691330044, 0.3650635264970501, 0.45139518453842076, 0.5068743189556923, 0.41375607643706713]","[47.95765691330044, 12.243284907517682, 6.436820212985436, 27.414793234216354, 5.947444731980083]"
"[0.44957818385499254, 0.49022179272727934, 0.5104392931945029, 0.3838603914547955, 0.2736758625035195]","[0.08152095558112873, 0.07922420526479895, 0.11026547653689144, 0.054530751641899425, 0.1174227615156789]","[0.41054177168990114, 0.3991472364078054, 0.49708960228404, 0.45657831271277505, 0.3649910275098185]","[8.152095558112874, 24.943592897725296, 49.708960228403996, 5.453075164189943, 11.742276151567891]"
"[0.301669964962279, 0.12477726636804538, 0.4834646128489143, 0.3146996811284643, 0.46491238984357686]","[0.13985878362736526, 0.1197413989167673, 0.10646903641166972, 0.06194804613430799, 0.10161339493694142]","[0.38339759113434696, 0.36116239942425266, 0.39605967180122703, 0.43320311655307003, 0.5134997423625378]","[13.985878362736525, 11.97413989167673, 39.605967180122704, 6.194804613430799, 28.239209952033242]"
"[0.05090553584214148, 0.3008777663825491, 0.5319128282526575, 0.414125454959151, 0.07627854205890906]","[0.07936099233765942, 0.139219838298695, 0.13984592604543727, 0.08994225196339758, 0.1403983514537308]","[0.4229840629900082, 0.5242145665575257, 0.46831669269569337, 0.45050304250810785, 0.43503052230986183]","[7.936099233765942, 13.9219838298695, 46.83166926956934, 17.27041252142213, 14.03983514537308]"
"[0.20050239210335652, 0.504810935151653, 0.5183923299264025, 0.09107837836647077, 0.5167454990187733]","[0.053840045217043275, 0.10015939309028951, 0.12442683621955296, 0.09638192524098801, 0.057377673353840024]","[0.4246130279366873, 0.38561436445847, 0.3887264665867072, 0.3764104896396719, 0.4033693482734482]","[5.384004521704328, 10.015939309028951, 38.87264665867072, 9.638192524098802, 36.089216986497206]"
"[0.521126214441241, 0.3251671320575008, 0.4885553730814037, 0.5205445704076421, 0.41253245568644126]","[0.08467415504366328, 0.14938441687779858, 0.14702114170388217, 0.14232224353869016, 0.06432525282150854]","[0.35934583712198925, 0.48307792883668393, 0.5206688927721944, 0.49720934722408616, 0.43033299146602855]","[35.93458371219892, 14.938441687779857, 14.702114170388217, 27.992335147482144, 6.432525282150854]"
"[0.07165187795570373, 0.39327537824331693, 0.22005093061829356, 0.3284280676543534, 0.37207763663301924]","[0.12186598886248229, 0.1483580348996041, 0.10254466811920569, 0.11467084989636059, 0.13447593102003597]","[0.49068393886911255, 0.4721163321733361, 0.4646571879655818, 0.40022952929654365, 0.46132177797685114]","[12.186598886248229, 47.211633217333606, 10.254466811920569, 11.467084989636058, 18.88021609486153]"
"[0.0766788748483614, 0.3783818398037307, 0.4041854759555811, 0.4639774097436765, 0.29001276364900336]","[0.05749336070894828, 0.11378136993893853, 0.1076019499816166, 0.1416429323222002, 0.10173558192958321]","[0.4896588333517824, 0.49509637199705325, 0.42028226114635636, 0.4016195919161373, 0.5317056736616098]","[5.749336070894828, 11.378136993893854, 32.53700955063926, 40.161959191613725, 10.173558192958321]"
"[0.10669960237914262, 0.17109755046654118, 0.43366498998712966, 0.1722877746466963, 0.4469497915671591]","[0.055290658346873855, 0.09106943542372033, 0.09234870734838724, 0.08551853556591696, 0.07699014272623843]","[0.4922411713584973, 0.542791437328991, 0.4817077249767069, 0.44525934178930665, 0.4504157113121794]","[5.529065834687385, 9.106943542372033, 31.770565935130946, 8.551853556591697, 45.041571131217935]"
"[0.2232250407073182, 0.24918189411813285, 0.1901437982196289, 0.5172482313663289, 0.22411138505021977]","[0.1333279522245478, 0.10004475653112851, 0.14950641729888886, 0.10333037975503556, 0.1154257477412869]","[0.5342080757137128, 0.37438430724496535, 0.4927390641957847, 0.3798991439614032, 0.4052836041895682]","[13.332795222454779, 22.184073877387327, 14.950641729888886, 37.989914396140314, 11.54257477412869]"
"[0.19463028961149026, 0.20716295432103066, 0.37387917598124437, 0.10950854228016883, 0.059412294246786804]","[0.07298838757089958, 0.09834093597825026, 0.11803584536779185, 0.10532633360429272, 0.08007098142089364]","[0.46242952156315575, 0.4004890637532596, 0.4672252037563014, 0.43205462866292105, 0.4962484170870636]","[7.298838757089958, 27.438909364761273, 46.72252037563014, 10.532633360429273, 8.007098142089363]"
"[0.29963310057886017, 0.3702330765395942, 0.22169527776770975, 0.2959158154912951, 0.2581417212862224]","[0.0706907481023364, 0.13855614245868741, 0.053691499109492946, 0.08914985123932788, 0.05422438334145844]","[0.3616370477652477, 0.40360318813644713, 0.5405132321335233, 0.3610311718773482, 0.3622020892908911]","[36.16370477652477, 40.36031881364471, 5.369149910949295, 12.684388164735381, 5.422438334145844]"
